j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
44,400,0.08549999999999991,0.018000000000000016,-0.0045000000000001705,0.0405000000000002,0.24300000000000033,0.07830000000000012
44,600,-0.04200000000000004,-0.2070000000000003,0.07800000000000007,-0.057000000000000384,-0.22199999999999998,0.12120000000000015
44,800,0.3397499999999998,0.13724999999999987,0.08099999999999996,-0.05400000000000027,0.3959999999999999,0.20159999999999995
44,1000,-0.06300000000000017,0.10799999999999965,-0.06300000000000017,0.04499999999999993,-0.16200000000000014,0.08820000000000001
45,10,-0.3600000000000001,-0.3600000000000001,1.4399999999999995,1.4399999999999995,-0.3600000000000001,0.7919999999999998
45,200,-0.15300000000000002,-0.15300000000000002,0.16199999999999992,0.11700000000000021,0.07199999999999984,0.13140000000000002
45,400,-0.16199999999999992,0.1080000000000001,0.5579999999999998,-0.09450000000000003,0.08549999999999991,0.20159999999999995
45,600,0.16800000000000015,-0.057000000000000384,0.09299999999999997,-0.057000000000000384,-0.07200000000000006,0.08940000000000019
45,800,-0.12150000000000016,0.03599999999999959,0.13724999999999987,-0.06525000000000003,0.15974999999999984,0.1039499999999999
45,1000,0.03599999999999959,-0.13500000000000023,-0.036000000000000476,-0.06300000000000017,-0.036000000000000476,0.061200000000000185
46,10,0.54,-0.3600000000000001,-1.2600000000000002,-0.3600000000000001,3.2399999999999998,1.152
46,200,-0.15300000000000002,0.07199999999999984,-0.06299999999999994,-0.06299999999999994,-0.46799999999999997,0.16379999999999995
46,400,0.018000000000000016,-0.0045000000000001705,0.06300000000000017,0.13050000000000028,0.1755,0.07830000000000012
46,600,0.16800000000000015,0.04800000000000004,-0.07200000000000006,-0.08700000000000019,-0.01200000000000001,0.0774000000000001
46,800,-0.0990000000000002,0.0022500000000000853,-0.042750000000000066,0.09224999999999972,-0.02024999999999988,0.05129999999999999
46,1000,-0.19800000000000018,0.017999999999999572,-0.027000000000000135,-4.440892098500626e-16,0.053999999999999604,0.05939999999999999
47,10,-1.2600000000000002,0.54,-1.2600000000000002,0.54,-0.3600000000000001,0.7920000000000001
47,200,-0.19799999999999995,-0.28800000000000026,-0.1080000000000001,0.2070000000000003,0.252,0.21060000000000012
47,400,0.22050000000000036,-0.13949999999999996,-0.07199999999999962,0.018000000000000016,0.0405000000000002,0.09810000000000003
47,600,0.06299999999999972,-0.2070000000000003,0.21299999999999986,0.04800000000000004,-0.08700000000000019,0.12360000000000002
47,800,0.1822499999999998,0.36224999999999996,-0.02024999999999988,0.03599999999999959,0.09224999999999972,0.13859999999999978
47,1000,0.11699999999999999,-0.3240000000000005,-0.16200000000000014,0.08099999999999996,-0.009000000000000119,0.13860000000000014
48,10,1.4399999999999995,1.4399999999999995,-0.3600000000000001,1.4399999999999995,-1.2600000000000002,1.188
48,200,-0.018000000000000238,-0.42300000000000004,-0.19799999999999995,-0.28800000000000026,-0.15300000000000002,0.2160000000000001
48,400,0.22050000000000036,-0.3194999999999997,0.0405000000000002,-0.1844999999999999,0.2879999999999998,0.21059999999999998
48,600,0.07800000000000007,-0.01200000000000001,-0.08700000000000019,-0.11699999999999999,-0.2070000000000003,0.10020000000000011
48,800,-0.05400000000000027,0.09224999999999972,-0.13275000000000015,0.03599999999999959,-0.02024999999999988,0.06704999999999992
48,1000,0.017999999999999572,-0.0990000000000002,-0.09000000000000008,-0.04500000000000015,-0.07200000000000051,0.06480000000000011
49,10,-0.3600000000000001,-0.3600000000000001,0.54,-1.2600000000000002,-0.3600000000000001,0.5760000000000002
