i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
85,169,Uniform Sampling,1.5426,1.65978,1.42543
85,289,Uniform Sampling,1.59031,1.67834,1.50228
85,361,Uniform Sampling,1.54072,1.6043,1.47714
85,529,Uniform Sampling,1.5794,1.63268,1.52611
90,49,Uniform Sampling,1.45714,1.627,1.28729
90,121,Uniform Sampling,1.53471,1.64424,1.42519
90,169,Uniform Sampling,1.59941,1.6814,1.51742
90,289,Uniform Sampling,1.56955,1.64483,1.49428
90,361,Uniform Sampling,1.59972,1.69381,1.50564
90,529,Uniform Sampling,1.52268,1.56644,1.47893
95,49,Uniform Sampling,1.46939,1.6495,1.28928
95,121,Uniform Sampling,1.5719,1.66804,1.47576
95,169,Uniform Sampling,1.61006,1.71869,1.50143
95,289,Uniform Sampling,1.55398,1.6278,1.48016
95,361,Uniform Sampling,1.50332,1.5692,1.43745
95,529,Uniform Sampling,1.52779,1.5815,1.47408
100,49,Uniform Sampling,1.56735,1.73314,1.40155
100,121,Uniform Sampling,1.53719,1.64546,1.42892
100,169,Uniform Sampling,1.56923,1.67046,1.468
100,289,Uniform Sampling,1.56332,1.6204,1.50624
100,361,Uniform Sampling,1.55235,1.62146,1.48325
100,529,Uniform Sampling,1.5482,1.59263,1.50378
5,49,Latin Hypercube Sampling,2.84082,2.96394,2.71769
5,121,Latin Hypercube Sampling,2.84132,2.91029,2.77236
5,169,Latin Hypercube Sampling,2.87396,2.95727,2.79066
5,289,Latin Hypercube Sampling,2.8308,2.88836,2.77323
5,361,Latin Hypercube Sampling,2.78476,2.83535,2.73418
5,529,Latin Hypercube Sampling,2.80718,2.83979,2.77458
10,49,Latin Hypercube Sampling,2.00816,2.0981,1.91823
10,121,Latin Hypercube Sampling,2.05537,2.13028,1.98046
10,169,Latin Hypercube Sampling,2.06095,2.13277,1.98912
10,289,Latin Hypercube Sampling,2.00035,2.05962,1.94108
10,361,Latin Hypercube Sampling,2.00526,2.05176,1.95877
10,529,Latin Hypercube Sampling,2.07448,2.10269,2.04627
15,49,Latin Hypercube Sampling,1.81224,1.89426,1.73023
15,121,Latin Hypercube Sampling,1.87686,1.94398,1.80974
15,169,Latin Hypercube Sampling,1.85325,1.92042,1.78609
15,289,Latin Hypercube Sampling,1.8,1.85551,1.74449
15,361,Latin Hypercube Sampling,1.80249,1.84085,1.76414
15,529,Latin Hypercube Sampling,1.86465,1.90429,1.82501
20,49,Latin Hypercube Sampling,1.71429,1.81348,1.61509
20,121,Latin Hypercube Sampling,1.78512,1.84527,1.72498
20,169,Latin Hypercube Sampling,1.77515,1.83896,1.71133
20,289,Latin Hypercube Sampling,1.71176,1.763,1.66053
20,361,Latin Hypercube Sampling,1.71191,1.75105,1.67277
20,529,Latin Hypercube Sampling,1.77335,1.8141,1.73259
25,49,Latin Hypercube Sampling,1.66531,1.75524,1.57537
25,121,Latin Hypercube Sampling,1.7405,1.80091,1.68008
25,169,Latin Hypercube Sampling,1.72367,1.7849,1.66244
25,289,Latin Hypercube Sampling,1.66713,1.71947,1.61479
25,361,Latin Hypercube Sampling,1.66288,1.70321,1.62255
25,529,Latin Hypercube Sampling,1.72117,1.76009,1.68226
30,49,Latin Hypercube Sampling,1.62245,1.71084,1.53406
30,121,Latin Hypercube Sampling,1.7157,1.77926,1.65214
30,169,Latin Hypercube Sampling,1.68284,1.74365,1.62203
30,289,Latin Hypercube Sampling,1.6391,1.69256,1.58564
30,361,Latin Hypercube Sampling,1.6313,1.67032,1.59229
30,529,Latin Hypercube Sampling,1.68998,1.73014,1.64983
35,49,Latin Hypercube Sampling,1.61633,1.7053,1.52736
35,121,Latin Hypercube Sampling,1.70083,1.76217,1.63948
35,169,Latin Hypercube Sampling,1.66154,1.72494,1.59814
35,289,Latin Hypercube Sampling,1.61419,1.66539,1.56299
35,361,Latin Hypercube Sampling,1.6072,1.6469,1.5675
35,529,Latin Hypercube Sampling,1.6673,1.70792,1.62667
40,49,Latin Hypercube Sampling,1.61633,1.7053,1.52736
40,121,Latin Hypercube Sampling,1.67355,1.7304,1.6167
40,169,Latin Hypercube Sampling,1.64911,1.71253,1.58569
40,289,Latin Hypercube Sampling,1.59446,1.64668,1.54224
40,361,Latin Hypercube Sampling,1.59224,1.6345,1.54999
40,529,Latin Hypercube Sampling,1.64802,1.68742,1.60861
45,49,Latin Hypercube Sampling,1.60408,1.69756,1.51061
45,121,Latin Hypercube Sampling,1.6562,1.71266,1.59973
45,169,Latin Hypercube Sampling,1.64201,1.70448,1.57955
45,289,Latin Hypercube Sampling,1.58512,1.63634,1.5339
45,361,Latin Hypercube Sampling,1.58144,1.62362,1.53926
45,529,Latin Hypercube Sampling,1.63384,1.67248,1.5952
50,49,Latin Hypercube Sampling,1.59796,1.68829,1.50763
50,121,Latin Hypercube Sampling,1.63636,1.69562,1.57711
50,169,Latin Hypercube Sampling,1.62781,1.68751,1.56811
50,289,Latin Hypercube Sampling,1.57993,1.63166,1.5282
50,361,Latin Hypercube Sampling,1.5723,1.61436,1.53024
50,529,Latin Hypercube Sampling,1.62363,1.66195,1.58531
55,49,Latin Hypercube Sampling,1.59796,1.68829,1.50763
55,121,Latin Hypercube Sampling,1.63388,1.6938,1.57397
55,169,Latin Hypercube Sampling,1.62604,1.6862,1.56587
55,289,Latin Hypercube Sampling,1.5737,1.62586,1.52154
55,361,Latin Hypercube Sampling,1.56482,1.60805,1.52159
55,529,Latin Hypercube Sampling,1.61796,1.65587,1.58005
60,49,Latin Hypercube Sampling,1.59184,1.68249,1.50118
60,121,Latin Hypercube Sampling,1.6314,1.69063,1.57218
60,169,Latin Hypercube Sampling,1.62071,1.68132,1.5601
60,289,Latin Hypercube Sampling,1.56747,1.62031,1.51464
60,361,Latin Hypercube Sampling,1.55734,1.60227,1.51241
60,529,Latin Hypercube Sampling,1.61172,1.64973,1.57372
65,49,Latin Hypercube Sampling,1.59184,1.68249,1.50118
65,121,Latin Hypercube Sampling,1.62645,1.68603,1.56686
65,169,Latin Hypercube Sampling,1.61006,1.66953,1.55059
65,289,Latin Hypercube Sampling,1.56436,1.6166,1.51212
65,361,Latin Hypercube Sampling,1.55152,1.59827,1.50477
