j,s,average_absolute_error,errors
1,10,7.120800000000001,"[7.4808, 7.4808, 6.580800000000002, 7.4808, 6.580800000000002]"
1,200,6.8957999999999995,"[6.940799999999999, 6.940799999999999, 6.6258, 7.030799999999999, 6.940799999999999]"
1,400,6.8193,"[6.9633, 6.940799999999999, 6.8283000000000005, 6.8283000000000005, 6.5358]"
1,600,6.844799999999999,"[6.8208, 6.790800000000001, 6.8658, 6.8658, 6.880799999999999]"
1,800,6.82155,"[6.940799999999999, 6.77205, 6.7608000000000015, 6.839550000000001, 6.794549999999999]"
1,1000,6.832800000000001,"[6.8238, 6.751800000000001, 6.805800000000001, 6.850800000000001, 6.931799999999999]"
6,10,1.3608,"[0.2808000000000004, -0.6191999999999998, 1.1807999999999998, 2.9808000000000003, 2.9808000000000003]"
6,200,0.9468000000000003,"[1.4958000000000007, 0.8658000000000003, 0.7758, 0.4608000000000001, 1.1358000000000004]"
6,400,0.8343000000000005,"[1.0683, 0.9108000000000003, 0.7758, 0.8433000000000004, 0.5733000000000004]"
6,600,1.0668,"[0.7908000000000002, 1.1058000000000001, 1.0008000000000006, 1.0757999999999999, 1.3608]"
6,800,1.0615500000000002,"[1.32705, 0.9445500000000002, 0.9670500000000002, 1.0907999999999995, 0.9783000000000002]"
6,1000,0.9324000000000001,"[1.0187999999999995, 0.8568000000000005, 0.8658000000000003, 0.8748000000000002, 1.0458]"
11,10,1.0008000000000006,"[1.1807999999999998, 0.2808000000000004, 0.2808000000000004, 2.080800000000001, 1.1807999999999998]"
11,200,0.5058000000000005,"[0.5508000000000004, 0.41580000000000017, 0.5957999999999999, 0.5957999999999999, 0.37080000000000024]"
11,400,0.49229999999999996,"[0.6633000000000002, 0.7533000000000001, 0.3933, 0.43830000000000013, 0.21330000000000005]"
11,600,0.47280000000000033,"[0.22079999999999989, 0.6557999999999999, 0.5658000000000001, 0.6557999999999999, 0.26580000000000004]"
11,800,0.4315500000000001,"[0.34829999999999983, 0.22455000000000025, 0.43830000000000013, 0.49455000000000005, 0.6520500000000002]"
11,1000,0.42300000000000026,"[0.31679999999999997, 0.6948000000000001, 0.42480000000000007, 0.31679999999999997, 0.3618000000000001]"
16,10,0.8208,"[1.1807999999999998, 1.1807999999999998, 0.2808000000000004, 0.2808000000000004, 1.1807999999999998]"
16,200,0.35280000000000045,"[0.010800000000000143, 0.5058000000000005, 0.6408000000000003, -0.03420000000000001, 0.6408000000000003]"
16,400,0.4293,"[0.48330000000000006, 0.5058000000000005, 0.3258000000000001, 0.34829999999999983, 0.48330000000000006]"
16,600,0.27780000000000027,"[0.37080000000000024, 0.2808000000000004, 0.05579999999999985, 0.4308000000000003, 0.25080000000000013]"
16,800,0.2852999999999999,"[0.51705, 0.33704999999999985, 0.14579999999999993, 0.30330000000000035, 0.12330000000000019]"
16,1000,0.3348,"[0.3618000000000001, 0.3078000000000001, 0.16379999999999995, 0.39780000000000015, 0.4428000000000003]"
21,10,0.4608000000000001,"[-0.6191999999999998, 2.080800000000001, 0.2808000000000004, 1.1807999999999998, -0.6191999999999998]"
21,200,0.06120000000000014,"[0.37080000000000024, -0.03420000000000001, -0.03420000000000001, -0.3941999999999999, -0.21420000000000017]"
21,400,0.28080000000000016,"[0.37080000000000024, 0.1908000000000003, 0.3933, 0.16830000000000012, 0.2808000000000004]"
21,600,0.37380000000000013,"[0.26580000000000004, 0.5957999999999999, 0.38580000000000014, 0.37080000000000024, 0.25080000000000013]"
