j,s,run_1,run_2,run_3,run_4,run_5,average
66,800,1.6087500000000001,1.5187500000000003,1.42875,1.5749999999999997,1.6087500000000001,1.548
66,1000,1.62,1.4489999999999998,1.458,1.7460000000000002,1.458,1.5462000000000002
71,10,2.6999999999999997,1.8000000000000003,1.8000000000000003,0.0,4.5,2.16
71,200,1.8000000000000003,1.2600000000000002,1.395,1.845,1.4849999999999999,1.557
71,400,1.6875,1.5524999999999998,1.4175,1.4175,1.7775,1.5704999999999998
71,600,1.6949999999999998,1.56,1.7100000000000002,1.59,1.44,1.5989999999999998
71,800,1.38375,1.5412500000000002,1.5412500000000002,1.4737500000000001,1.6087500000000001,1.50975
71,1000,1.5390000000000001,1.6469999999999998,1.6469999999999998,1.4849999999999999,1.5749999999999997,1.5785999999999998
76,10,0.9000000000000001,3.6000000000000005,3.6000000000000005,1.8000000000000003,2.6999999999999997,2.5200000000000005
76,200,1.4849999999999999,1.44,1.44,1.3049999999999997,1.44,1.422
76,400,1.5975,1.6649999999999998,1.5524999999999998,1.5524999999999998,1.62,1.5975
76,600,1.4849999999999999,1.62,1.5,1.5749999999999997,1.8900000000000001,1.614
76,800,1.5975,1.5075000000000003,1.44,1.5749999999999997,1.67625,1.5592499999999998
76,1000,1.7640000000000002,1.6469999999999998,1.6109999999999998,1.467,1.6109999999999998,1.6200000000000003
81,10,0.9000000000000001,0.9000000000000001,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.2600000000000002
81,200,1.8900000000000001,1.4849999999999999,1.3499999999999999,1.62,1.4849999999999999,1.566
81,400,1.4175,1.5524999999999998,1.6649999999999998,1.62,1.6649999999999998,1.584
81,600,1.785,1.47,1.77,1.65,1.47,1.6290000000000002
81,800,1.5749999999999997,1.6087500000000001,1.4737500000000001,1.53,1.5412500000000002,1.54575
81,1000,1.5749999999999997,1.7189999999999999,1.2779999999999998,1.584,1.458,1.5227999999999997
86,10,1.8000000000000003,1.8000000000000003,3.6000000000000005,2.6999999999999997,0.9000000000000001,2.16
86,200,1.44,1.395,1.7100000000000002,1.62,1.7100000000000002,1.575
86,400,1.395,1.62,1.62,1.5075000000000003,1.755,1.5795
86,600,1.56,1.59,1.605,1.395,1.545,1.5390000000000001
86,800,1.67625,1.53,1.7437500000000001,1.45125,1.6087500000000001,1.6019999999999999
86,1000,1.53,1.386,1.5030000000000001,1.458,1.7100000000000002,1.5174
91,10,0.9000000000000001,0.0,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.7200000000000001
91,200,1.53,1.3499999999999999,1.8000000000000003,1.4849999999999999,1.62,1.557
91,400,1.2600000000000002,1.3499999999999999,1.6875,1.6425,1.2825,1.4445000000000001
91,600,1.53,1.56,1.6350000000000002,1.4100000000000001,1.53,1.533
91,800,1.5412500000000002,1.5075000000000003,1.5412500000000002,1.5524999999999998,1.6425,1.557
91,1000,1.467,1.6380000000000001,1.4489999999999998,1.323,1.494,1.4742000000000002
96,10,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.6200000000000003
96,200,1.845,1.3499999999999999,1.17,1.62,1.4849999999999999,1.4940000000000002
96,400,1.5749999999999997,1.4849999999999999,1.5524999999999998,1.4175,1.6875,1.5434999999999999
96,600,1.56,1.815,1.455,1.725,1.6350000000000002,1.638
96,800,1.3049999999999997,1.49625,1.5524999999999998,1.5749999999999997,1.5749999999999997,1.5007499999999996
96,1000,1.467,1.5929999999999997,1.6649999999999998,1.6380000000000001,1.386,1.5497999999999998
