j,s,run_1,run_2,run_3,run_4,run_5,average_subtraction,reference_value
1,10,7.4808,7.4808,6.580800000000002,7.4808,6.580800000000002,7.120800000000001,1.5191999999999999
1,200,6.940799999999999,6.940799999999999,6.6258,7.030799999999999,6.940799999999999,6.8957999999999995,1.5191999999999999
1,400,6.9633,6.940799999999999,6.8283000000000005,6.8283000000000005,6.5358,6.8193,1.5191999999999999
1,600,6.8208,6.790800000000001,6.8658,6.8658,6.880799999999999,6.844800000000001,1.5191999999999999
1,800,6.940799999999999,6.77205,6.7608000000000015,6.839550000000001,6.794549999999999,6.82155,1.5191999999999999
1,1000,6.8238,6.751800000000001,6.805800000000001,6.850800000000001,6.931799999999999,6.832800000000001,1.5191999999999999
6,10,0.2808000000000004,-0.6191999999999998,1.1807999999999998,2.9808000000000003,2.9808000000000003,1.3608000000000002,1.5191999999999999
6,200,1.4958000000000007,0.8658000000000003,0.7758,0.4608000000000001,1.1358000000000004,0.9468000000000003,1.5191999999999999
6,400,1.0683,0.9108000000000003,0.7758,0.8433000000000004,0.5733000000000004,0.8343000000000002,1.5191999999999999
6,600,0.7908000000000002,1.1058000000000001,1.0008000000000006,1.0757999999999999,1.3608,1.0668000000000002,1.5191999999999999
6,800,1.32705,0.9445500000000002,0.9670500000000002,1.0907999999999995,0.9783000000000002,1.06155,1.5191999999999999
6,1000,1.0187999999999995,0.8568000000000005,0.8658000000000003,0.8748000000000002,1.0458,0.9324000000000001,1.5191999999999999
11,10,1.1807999999999998,0.2808000000000004,0.2808000000000004,2.080800000000001,1.1807999999999998,1.0008000000000004,1.5191999999999999
11,200,0.5508000000000004,0.41580000000000017,0.5957999999999999,0.5957999999999999,0.37080000000000024,0.5058000000000001,1.5191999999999999
11,400,0.6633000000000002,0.7533000000000001,0.3933,0.43830000000000013,0.21330000000000005,0.4923000000000002,1.5191999999999999
11,600,0.22079999999999989,0.6557999999999999,0.5658000000000001,0.6557999999999999,0.26580000000000004,0.4728,1.5191999999999999
11,800,0.34829999999999983,0.22455000000000025,0.43830000000000013,0.49455000000000005,0.6520500000000002,0.4315500000000001,1.5191999999999999
11,1000,0.31679999999999997,0.6948000000000001,0.42480000000000007,0.31679999999999997,0.3618000000000001,0.42300000000000004,1.5191999999999999
16,10,1.1807999999999998,1.1807999999999998,0.2808000000000004,0.2808000000000004,1.1807999999999998,0.8208,1.5191999999999999
16,200,0.010800000000000143,0.5058000000000005,0.6408000000000003,-0.03420000000000001,0.6408000000000003,0.3528000000000002,1.5191999999999999
16,400,0.48330000000000006,0.5058000000000005,0.3258000000000001,0.34829999999999983,0.48330000000000006,0.4293000000000001,1.5191999999999999
16,600,0.37080000000000024,0.2808000000000004,0.05579999999999985,0.4308000000000003,0.25080000000000013,0.27780000000000016,1.5191999999999999
16,800,0.51705,0.33704999999999985,0.14579999999999993,0.30330000000000035,0.12330000000000019,0.28530000000000005,1.5191999999999999
16,1000,0.3618000000000001,0.3078000000000001,0.16379999999999995,0.39780000000000015,0.4428000000000003,0.3348000000000001,1.5191999999999999
21,10,-0.6191999999999998,2.080800000000001,0.2808000000000004,1.1807999999999998,-0.6191999999999998,0.4608000000000003,1.5191999999999999
21,200,0.37080000000000024,-0.03420000000000001,-0.03420000000000001,-0.3941999999999999,-0.21420000000000017,-0.06119999999999996,1.5191999999999999
21,400,0.37080000000000024,0.1908000000000003,0.3933,0.16830000000000012,0.2808000000000004,0.2808000000000002,1.5191999999999999
21,600,0.26580000000000004,0.5957999999999999,0.38580000000000014,0.37080000000000024,0.25080000000000013,0.3738000000000001,1.5191999999999999
21,800,0.21330000000000005,0.22455000000000025,0.3258000000000001,0.34829999999999983,-0.00044999999999961737,0.2223000000000001,1.5191999999999999
21,1000,0.13680000000000025,0.26280000000000037,0.09179999999999988,0.4338000000000002,0.3078000000000001,0.24660000000000015,1.5191999999999999
26,10,0.2808000000000004,-0.6191999999999998,0.2808000000000004,0.2808000000000004,0.2808000000000004,0.10080000000000036,1.5191999999999999
26,200,0.37080000000000024,-0.07919999999999994,-0.07919999999999994,0.4608000000000001,0.010800000000000143,0.13680000000000012,1.5191999999999999
26,400,0.2808000000000004,0.14579999999999993,0.10080000000000022,-0.1016999999999999,0.16830000000000012,0.11880000000000016,1.5191999999999999
26,600,0.41580000000000017,0.0708000000000002,0.14579999999999993,-0.04919999999999991,0.17579999999999996,0.15180000000000007,1.5191999999999999
26,800,0.15705000000000013,0.29205000000000014,0.033299999999999885,0.13455000000000017,0.21330000000000005,0.1660500000000001,1.5191999999999999
26,1000,0.27180000000000004,0.13680000000000025,0.13680000000000025,0.019800000000000262,0.2178,0.15660000000000016,1.5191999999999999
31,10,-0.6191999999999998,1.1807999999999998,0.2808000000000004,0.2808000000000004,-0.6191999999999998,0.10080000000000022,1.5191999999999999
31,200,0.6408000000000003,0.1908000000000003,0.14579999999999993,0.010800000000000143,-0.03420000000000001,0.19080000000000014,1.5191999999999999
31,400,0.10080000000000022,0.16830000000000012,0.21330000000000005,0.2808000000000004,0.21330000000000005,0.19530000000000017,1.5191999999999999
31,600,0.16080000000000028,0.13080000000000003,0.14579999999999993,0.13080000000000003,0.11580000000000035,0.13680000000000012,1.5191999999999999
31,800,0.10080000000000022,-0.0116999999999996,-0.09044999999999992,0.14579999999999993,0.2583000000000002,0.08055000000000016,1.5191999999999999
31,1000,0.10080000000000022,0.2358,-0.007199999999999873,0.16379999999999995,0.2538,0.14940000000000006,1.5191999999999999
