i,s,Sampling Method,Estimated Absolute Error,CI Upper Abs Error,CI Lower Abs Error
35,289,Latin Hypercube Sampling,0.07266,0.09056,0.05477
35,361,Latin Hypercube Sampling,0.08227,0.10026,0.06428
35,529,Latin Hypercube Sampling,0.0828,0.09503,0.07057
40,49,Latin Hypercube Sampling,0.04898,0.07983,0.01813
40,121,Latin Hypercube Sampling,0.0719,0.09966,0.04414
40,169,Latin Hypercube Sampling,0.05858,0.07693,0.04023
40,289,Latin Hypercube Sampling,0.05294,0.06731,0.03857
40,361,Latin Hypercube Sampling,0.06731,0.0828,0.05182
40,529,Latin Hypercube Sampling,0.06352,0.07482,0.05221
45,49,Latin Hypercube Sampling,0.03673,0.06464,0.00883
45,121,Latin Hypercube Sampling,0.05455,0.07974,0.02935
45,169,Latin Hypercube Sampling,0.05148,0.06993,0.03303
45,289,Latin Hypercube Sampling,0.0436,0.05604,0.03116
45,361,Latin Hypercube Sampling,0.05651,0.07116,0.04185
45,529,Latin Hypercube Sampling,0.04934,0.05953,0.03914
50,49,Latin Hypercube Sampling,0.03061,0.05661,0.00462
50,121,Latin Hypercube Sampling,0.03471,0.05364,0.01578
50,169,Latin Hypercube Sampling,0.03728,0.05124,0.02331
50,289,Latin Hypercube Sampling,0.03841,0.05161,0.02521
50,361,Latin Hypercube Sampling,0.04737,0.05968,0.03506
50,529,Latin Hypercube Sampling,0.03913,0.04829,0.02997
55,49,Latin Hypercube Sampling,0.03061,0.05661,0.00462
55,121,Latin Hypercube Sampling,0.03223,0.05109,0.01338
55,169,Latin Hypercube Sampling,0.0355,0.04964,0.02136
55,289,Latin Hypercube Sampling,0.03218,0.04458,0.01978
55,361,Latin Hypercube Sampling,0.03989,0.05099,0.02879
55,529,Latin Hypercube Sampling,0.03346,0.04188,0.02504
60,49,Latin Hypercube Sampling,0.02449,0.0482,0.00078
60,121,Latin Hypercube Sampling,0.02975,0.04701,0.01249
60,169,Latin Hypercube Sampling,0.03018,0.04368,0.01668
60,289,Latin Hypercube Sampling,0.02595,0.03657,0.01534
60,361,Latin Hypercube Sampling,0.03241,0.04223,0.02259
60,529,Latin Hypercube Sampling,0.02722,0.03497,0.01947
65,49,Latin Hypercube Sampling,0.02449,0.0482,0.00078
65,121,Latin Hypercube Sampling,0.02479,0.04164,0.00795
65,169,Latin Hypercube Sampling,0.01953,0.02927,0.00978
65,289,Latin Hypercube Sampling,0.02284,0.03196,0.01371
65,361,Latin Hypercube Sampling,0.02659,0.03604,0.01715
65,529,Latin Hypercube Sampling,0.02382,0.03082,0.01682
70,49,Latin Hypercube Sampling,0.02449,0.0482,0.00078
70,121,Latin Hypercube Sampling,0.01488,0.02833,0.00143
70,169,Latin Hypercube Sampling,0.01775,0.02729,0.00822
70,289,Latin Hypercube Sampling,0.01765,0.02554,0.00975
70,361,Latin Hypercube Sampling,0.01994,0.0282,0.01169
70,529,Latin Hypercube Sampling,0.01985,0.02588,0.01381
75,49,Latin Hypercube Sampling,0.00612,0.01864,-0.0064
75,121,Latin Hypercube Sampling,0.01488,0.02833,0.00143
75,169,Latin Hypercube Sampling,0.0142,0.02315,0.00526
75,289,Latin Hypercube Sampling,0.01246,0.01901,0.00591
75,361,Latin Hypercube Sampling,0.0133,0.02009,0.0065
75,529,Latin Hypercube Sampling,0.01701,0.02303,0.011
80,49,Latin Hypercube Sampling,0.00612,0.01864,-0.0064
80,121,Latin Hypercube Sampling,0.0124,0.0252,-0.00041
80,169,Latin Hypercube Sampling,0.01065,0.01874,0.00256
80,289,Latin Hypercube Sampling,0.00934,0.01556,0.00312
80,361,Latin Hypercube Sampling,0.00997,0.01576,0.00419
80,529,Latin Hypercube Sampling,0.01134,0.01616,0.00653
85,49,Latin Hypercube Sampling,0.00612,0.01864,-0.0064
85,121,Latin Hypercube Sampling,0.0124,0.0252,-0.00041
85,169,Latin Hypercube Sampling,0.00888,0.01641,0.00134
85,289,Latin Hypercube Sampling,0.00623,0.01096,0.0015
85,361,Latin Hypercube Sampling,0.00831,0.01396,0.00266
85,529,Latin Hypercube Sampling,0.00737,0.01135,0.0034
90,49,Latin Hypercube Sampling,0.00612,0.01864,-0.0064
90,121,Latin Hypercube Sampling,0.00744,0.01591,-0.00104
90,169,Latin Hypercube Sampling,0.0071,0.01398,0.00023
90,289,Latin Hypercube Sampling,0.00623,0.01096,0.0015
90,361,Latin Hypercube Sampling,0.00582,0.01051,0.00113
90,529,Latin Hypercube Sampling,0.0034,0.00599,0.00082
95,49,Latin Hypercube Sampling,0.00612,0.01864,-0.0064
95,121,Latin Hypercube Sampling,0.00496,0.01201,-0.00209
95,169,Latin Hypercube Sampling,0.00178,0.00541,-0.00186
95,289,Latin Hypercube Sampling,0.00519,0.0096,0.00078
95,361,Latin Hypercube Sampling,0.00249,0.00533,-0.00035
95,529,Latin Hypercube Sampling,0.0017,0.00364,-0.00024
100,49,Latin Hypercube Sampling,0.0,0.0,0.0
100,121,Latin Hypercube Sampling,0.0,0.0,0.0
100,169,Latin Hypercube Sampling,0.0,0.0,0.0
100,289,Latin Hypercube Sampling,0.0,0.0,0.0
100,361,Latin Hypercube Sampling,0.0,0.0,0.0
100,529,Latin Hypercube Sampling,0.0,0.0,0.0
5,49,Orthogonal Sampling,1.24898,1.35913,1.13883
5,121,Orthogonal Sampling,1.28182,1.33625,1.22739
5,169,Orthogonal Sampling,1.22485,1.27467,1.17504
5,289,Orthogonal Sampling,1.26644,1.29895,1.23393
5,361,Orthogonal Sampling,1.2349,1.25806,1.21174
5,529,Orthogonal Sampling,1.24026,1.25909,1.22144
10,49,Orthogonal Sampling,0.46531,0.55305,0.37756
10,121,Orthogonal Sampling,0.44132,0.49826,0.38439
10,169,Orthogonal Sampling,0.50059,0.54947,0.45171
10,289,Orthogonal Sampling,0.47958,0.51284,0.44633
10,361,Orthogonal Sampling,0.45706,0.47951,0.43461
10,529,Orthogonal Sampling,0.48261,0.50582,0.4594
15,49,Orthogonal Sampling,0.28163,0.35531,0.20796
15,121,Orthogonal Sampling,0.25537,0.30246,0.20828
15,169,Orthogonal Sampling,0.26805,0.29827,0.23783
15,289,Orthogonal Sampling,0.27924,0.30731,0.25117
15,361,Orthogonal Sampling,0.25762,0.2841,0.23114
15,529,Orthogonal Sampling,0.27561,0.29258,0.25865
20,49,Orthogonal Sampling,0.18367,0.25107,0.11628
20,121,Orthogonal Sampling,0.16612,0.20161,0.13062
20,169,Orthogonal Sampling,0.17751,0.2038,0.15123
20,289,Orthogonal Sampling,0.17232,0.19689,0.14775
20,361,Orthogonal Sampling,0.16704,0.18692,0.14715
20,529,Orthogonal Sampling,0.18091,0.19511,0.1667
25,49,Orthogonal Sampling,0.12245,0.17747,0.06742
25,121,Orthogonal Sampling,0.12645,0.15752,0.09537
25,169,Orthogonal Sampling,0.13846,0.15974,0.11718
25,289,Orthogonal Sampling,0.1308,0.15248,0.10912
25,361,Orthogonal Sampling,0.12465,0.14343,0.10588
25,529,Orthogonal Sampling,0.13157,0.14703,0.1161
30,49,Orthogonal Sampling,0.09796,0.14805,0.04787
30,121,Orthogonal Sampling,0.09421,0.12423,0.0642
30,169,Orthogonal Sampling,0.11006,0.12955,0.09057
30,289,Orthogonal Sampling,0.0955,0.11597,0.07503
30,361,Orthogonal Sampling,0.0964,0.11449,0.07831
30,529,Orthogonal Sampling,0.09584,0.10816,0.08353
35,49,Orthogonal Sampling,0.06735,0.10952,0.02517
35,121,Orthogonal Sampling,0.06942,0.09665,0.0422
35,169,Orthogonal Sampling,0.09053,0.10874,0.07233
35,289,Orthogonal Sampling,0.07889,0.0961,0.06169
35,361,Orthogonal Sampling,0.07064,0.08592,0.05535
35,529,Orthogonal Sampling,0.07202,0.08213,0.06192
40,49,Orthogonal Sampling,0.04286,0.08184,0.00388
40,121,Orthogonal Sampling,0.06446,0.09049,0.03844
40,169,Orthogonal Sampling,0.07988,0.09533,0.06443
40,289,Orthogonal Sampling,0.05813,0.07135,0.04491
40,361,Orthogonal Sampling,0.05651,0.07137,0.04165
40,529,Orthogonal Sampling,0.05898,0.06711,0.05085
45,49,Orthogonal Sampling,0.04286,0.08184,0.00388
45,121,Orthogonal Sampling,0.04463,0.06602,0.02324
45,169,Orthogonal Sampling,0.06746,0.08306,0.05185
45,289,Orthogonal Sampling,0.04983,0.06067,0.03899
45,361,Orthogonal Sampling,0.04737,0.06061,0.03412
45,529,Orthogonal Sampling,0.04594,0.05463,0.03724
50,49,Orthogonal Sampling,0.04286,0.08184,0.00388
50,121,Orthogonal Sampling,0.03471,0.05218,0.01725
50,169,Orthogonal Sampling,0.05858,0.07367,0.04349
50,289,Orthogonal Sampling,0.04152,0.05308,0.02996
50,361,Orthogonal Sampling,0.04238,0.05464,0.03012
50,529,Orthogonal Sampling,0.03856,0.04689,0.03023
55,49,Orthogonal Sampling,0.03673,0.06995,0.00352
55,121,Orthogonal Sampling,0.02975,0.0454,0.01411
55,169,Orthogonal Sampling,0.04615,0.06159,0.03072
55,289,Orthogonal Sampling,0.02803,0.03832,0.01774
55,361,Orthogonal Sampling,0.03657,0.04848,0.02466
55,529,Orthogonal Sampling,0.03062,0.0392,0.02205
60,49,Orthogonal Sampling,0.03061,0.05661,0.00462
60,121,Orthogonal Sampling,0.02479,0.03998,0.00961
60,169,Orthogonal Sampling,0.04083,0.0553,0.02635
60,289,Orthogonal Sampling,0.02388,0.03431,0.01344
60,361,Orthogonal Sampling,0.03075,0.04159,0.0199
60,529,Orthogonal Sampling,0.02722,0.03497,0.01947
65,49,Orthogonal Sampling,0.03061,0.05661,0.00462
65,121,Orthogonal Sampling,0.02231,0.03717,0.00746
65,169,Orthogonal Sampling,0.03728,0.05023,0.02433
65,289,Orthogonal Sampling,0.02284,0.03339,0.01229
65,361,Orthogonal Sampling,0.02659,0.03695,0.01624
65,529,Orthogonal Sampling,0.02042,0.02675,0.01408
70,49,Orthogonal Sampling,0.01837,0.03929,-0.00256
70,121,Orthogonal Sampling,0.01488,0.02618,0.00358
70,169,Orthogonal Sampling,0.02663,0.03915,0.0141
70,289,Orthogonal Sampling,0.01869,0.02764,0.00973
70,361,Orthogonal Sampling,0.01911,0.02848,0.00975
70,529,Orthogonal Sampling,0.01588,0.02087,0.01089
75,49,Orthogonal Sampling,0.01224,0.02965,-0.00516
75,121,Orthogonal Sampling,0.01488,0.02618,0.00358
75,169,Orthogonal Sampling,0.01598,0.02661,0.00534
75,289,Orthogonal Sampling,0.01557,0.0235,0.00764
75,361,Orthogonal Sampling,0.0133,0.02009,0.0065
75,529,Orthogonal Sampling,0.01304,0.01796,0.00813
80,49,Orthogonal Sampling,0.01224,0.02965,-0.00516
80,121,Orthogonal Sampling,0.00992,0.01952,0.00031
80,169,Orthogonal Sampling,0.01243,0.02245,0.0024
80,289,Orthogonal Sampling,0.01142,0.01712,0.00572
80,361,Orthogonal Sampling,0.01247,0.01882,0.00611
80,529,Orthogonal Sampling,0.01078,0.01591,0.00564
85,49,Orthogonal Sampling,0.00612,0.01864,-0.0064
85,121,Orthogonal Sampling,0.00496,0.01201,-0.00209
85,169,Orthogonal Sampling,0.00888,0.01805,-0.00029
85,289,Orthogonal Sampling,0.00934,0.01476,0.00392
85,361,Orthogonal Sampling,0.00665,0.01084,0.00246
85,529,Orthogonal Sampling,0.00794,0.01258,0.0033
90,49,Orthogonal Sampling,0.00612,0.01864,-0.0064
90,121,Orthogonal Sampling,0.00496,0.01201,-0.00209
90,169,Orthogonal Sampling,0.0071,0.01398,0.00023
90,289,Orthogonal Sampling,0.0083,0.01353,0.00307
90,361,Orthogonal Sampling,0.00332,0.00654,0.00011
90,529,Orthogonal Sampling,0.0051,0.00924,0.00097
95,49,Orthogonal Sampling,0.0,0.0,0.0
95,121,Orthogonal Sampling,0.0,0.0,0.0
95,169,Orthogonal Sampling,0.00533,0.01139,-0.00074
95,289,Orthogonal Sampling,0.00415,0.00817,0.00013
95,361,Orthogonal Sampling,0.0,0.0,0.0
95,529,Orthogonal Sampling,0.00057,0.00173,-0.00059
100,49,Orthogonal Sampling,0.0,0.0,0.0
100,121,Orthogonal Sampling,0.0,0.0,0.0
100,169,Orthogonal Sampling,0.0,0.0,0.0
100,289,Orthogonal Sampling,0.0,0.0,0.0
100,361,Orthogonal Sampling,0.0,0.0,0.0
100,529,Orthogonal Sampling,0.0,0.0,0.0
